,song,genre,duration,tempo,tempo_changes,tempo_confidence,sub_strength,bass_strength,lomid_strength,mid_strength,himid_strength,pres_strength,brill_strength,mean_RMS,std_RMS,spectral_centroid,spectral_bandwidth,band 0_contrast,band 1_contrast,band 2_contrast,band 3_contrast,mean_flatness,peak_flatness,rolloff(0.5),tuning
55,03 Touch the Sky (Featuring Lupe Fia.wav,hiphop,236.6,107.666015625,0.4023552502453386,0.8516192345436703,-31.841693878173828,-28.582439422607422,-36.9411735534668,-44.2234001159668,-48.95237350463867,-53.157901763916016,-55.07523727416992,0.3181053102016449,0.12066537886857986,2863.795911151097,2937.1427093081966,19.439608992455433,14.711051227529687,17.388385851871845,31.699305113219832,0.03456846624612808,0.33481425046920776,1803.4744397463812,-0.33999999999999997
56,04 Throw Some D's (feat. Polow Da Do.wav,hiphop,263.92,161.4990234375,0.6246151139262779,0.5922406967537609,-39.30481719970703,-34.20177459716797,-40.097572326660156,-47.29857635498047,-51.16436767578125,-54.00893783569336,-59.496490478515625,0.2614549994468689,0.13206854462623596,2578.2261822960113,2721.7254591194087,22.206603135781588,15.508701826283612,20.22351202230396,33.14886025767523,0.02548160031437874,0.3409329056739807,1531.715065660877,0.07999999999999996
57,1-03 THat Part (feat. Kanye West).wav,hiphop,313.56,112.34714673913044,0.2517772511848341,0.8643364928909952,-39.319313049316406,-38.767730712890625,-43.21138381958008,-52.61293029785156,-60.603729248046875,-63.32565689086914,-67.51757049560547,0.2370276004076004,0.11402381956577301,1940.3966608016092,2245.6089419518116,24.246265695765764,15.962616150748383,20.685453512589003,39.982741190478755,0.0071659572422504425,0.2996184527873993,1103.242595726845,0.13
58,08 Sweatpants.wav,hiphop,180.70666666666668,161.4990234375,0.9122446357445715,0.3780033406141591,-50.93739700317383,-40.10664367675781,-42.3101692199707,-53.162410736083984,-58.18429183959961,-63.914974212646484,-64.85340118408203,0.2626873850822449,0.13273784518241882,2225.3849998084324,2480.0519018247624,26.019799321128286,15.281304568337635,19.213422808804555,34.909674434765655,0.019636452198028564,1.0000007152557373,1272.944861672676,-0.14999999999999997
59,13 This Plane.wav,hiphop,196.1578231292517,112.34714673913044,0.4024621212121212,0.7466856060606061,-41.94561004638672,-35.10970687866211,-38.23039627075195,-45.169918060302734,-50.98443603515625,-53.63203811645508,-57.08728790283203,0.22594815492630005,0.11083932220935822,2852.9834553585893,2800.7429625039963,21.58938587914409,15.60346700491701,19.187507602293714,32.903051153780005,0.04316360875964165,0.33785560727119446,1866.9960021972656,0.050000000000000044
60,07 Slump.wav,hiphop,308.8666666666667,92.28515625,0.6465193204029469,0.590738234851902,-46.996578216552734,-40.20927047729492,-45.026878356933594,-52.18882369995117,-55.80056381225586,-60.663333892822266,-65.15654754638672,0.22454608976840973,0.15417087078094482,2528.356276485897,2510.8920137715786,21.96112742148104,15.470667239246987,18.79961409920198,35.70677802219936,0.03550995886325836,0.34841036796569824,1712.7856511385742,0.15000000000000002
61,"15 Shook Ones, Pt. II.wav",hiphop,325.50666666666666,95.703125,0.6205863471003638,0.39510664098723164,-33.887996673583984,-30.600826263427734,-38.916961669921875,-44.07698440551758,-45.320655822753906,-49.19099426269531,-59.91729736328125,0.18687163293361664,0.07369737327098846,2617.0542625039907,2416.031106164372,22.178074312535482,13.276946202355061,16.897935335938264,36.719920115511876,0.03751741349697113,0.30468231439590454,1976.6310035710464,-0.09999999999999998
62,Skills Up.wav,hiphop,239.98802721088435,86.1328125,0.8707430340557275,0.2717685758513932,-29.86736297607422,-30.378742218017578,-36.8320426940918,-46.07660675048828,-50.80787658691406,-54.64097595214844,-62.83515167236328,0.38797205686569214,0.13407564163208008,2196.495747553728,2399.87275937294,19.266997833126688,14.283922992137473,18.243482347650406,38.53981468961488,0.01594124734401703,0.38694849610328674,1335.8450473277562,-0.46
63,10 Seen It All (feat. JAY Z).wav,hiphop,207.5390022675737,107.666015625,0.3468337435667935,0.8123741329156411,-42.48158645629883,-39.895172119140625,-42.41422653198242,-45.149776458740234,-51.9474983215332,-56.937862396240234,-59.80009078979492,0.20769070088863373,0.10580319166183472,2699.0200670260538,2652.8372508029834,22.96367280888843,15.276542005216402,19.02544481984762,36.47046790457568,0.027994051575660706,0.32326218485832214,1777.6360249514014,0.17000000000000004
64,01 Numbers On the Boards.wav,hiphop,162.89333333333335,172.265625,1.097491448118586,0.3449258836944128,-37.470951080322266,-28.27920913696289,-37.33754348754883,-50.35438919067383,-54.03413391113281,-58.663883209228516,-61.678619384765625,0.3543132543563843,0.09512452781200409,2080.885027436025,2377.4652788420594,23.119817547634916,16.127047302399273,18.376624547810614,35.86878973808643,0.011533621698617935,0.3448801338672638,1234.8797857965276,0.36
65,01 Rack City.wav,hiphop,208.84,99.38401442307692,0.37802979764287303,0.8263286635534801,-34.254398345947266,-40.076107025146484,-44.95237731933594,-56.186004638671875,-59.46950912475586,-68.0697250366211,-71.02825164794922,0.32269179821014404,0.19454509019851685,1623.3007629948293,1955.1342295767652,23.79835574833562,14.537356621127683,19.150587188776324,36.53473171680303,0.02545902691781521,0.37453579902648926,934.4713451545822,-0.02999999999999997
66,03 Renaissance (feat. Lex Allen & D..wav,hiphop,198.52054421768707,117.45383522727273,0.8304093567251462,0.45532163742690057,-43.60856246948242,-38.680564880371094,-41.86408233642578,-47.133575439453125,-52.48910903930664,-55.80147171020508,-58.90502166748047,0.33703985810279846,0.1574285477399826,2840.8765974618177,2712.62220754168,22.54499273183186,14.812553742805994,18.726570698750216,33.39752835688582,0.03716899827122688,0.39739730954170227,1971.4730417351973,0.050000000000000044
67,03 A Milli.wav,hiphop,221.74666666666667,103.359375,0.9738219895287957,0.3049214659685864,-48.01858901977539,-44.267311096191406,-45.74742889404297,-51.38701629638672,-53.383663177490234,-56.5645637512207,-61.90232849121094,0.2533555328845978,0.16622573137283325,2775.2065567281065,2673.937445991559,25.255467282376582,17.15233052888756,19.864493976366152,35.47828885532109,0.04082342982292175,0.35268133878707886,1885.6535785135798,-0.03999999999999998
68,03 Much More.wav,hiphop,245.49333333333334,92.28515625,0.7661023361392225,0.7483211954979665,-41.87519836425781,-35.87206268310547,-39.382080078125,-46.71241760253906,-50.94112777709961,-56.07730484008789,-61.59282302856445,0.21505878865718842,0.11092766374349594,2563.965841169367,2654.299029931811,22.733835453346728,15.265906268153026,18.080417112544858,33.461163210705784,0.026991885155439377,0.27182215452194214,1637.5397118175424,0.07999999999999996
69,01 Lose Yourself.wav,hiphop,320.29333333333335,172.265625,0.32622879512831665,0.7349572277801942,-36.72376251220703,-32.005157470703125,-41.094993591308594,-47.28169250488281,-50.00166702270508,-59.60771560668945,-64.8442153930664,0.2777680456638336,0.14136365056037903,2067.2835468124367,2140.862739537426,21.63701966810088,16.319947118955064,18.844571455136936,38.82057805807571,0.02137697860598564,0.30139845609664917,1403.3344894349445,0.42000000000000004
70,01 Loyalty (feat. Lil Wayne & Tyga).wav,hiphop,238.14666666666668,151.99908088235293,0.8189529102076631,0.4488641903090572,-36.828025817871094,-35.66459274291992,-41.09526824951172,-44.01765060424805,-47.479915618896484,-53.70497512817383,-58.38925552368164,0.27419668436050415,0.12424448877573013,2761.3347609023517,2647.868655530126,21.627635043559255,14.207126185024798,17.229378209913936,34.12157975879472,0.039847567677497864,0.37853240966796875,1965.095302674393,0.0
71,Look Alive.wav,hiphop,181.28,143.5546875,0.6787909836065573,0.45453381147540983,-30.610759735107422,-40.22346496582031,-46.45293426513672,-50.93122863769531,-57.33213424682617,-59.70621871948242,-62.00424575805664,0.3479020893573761,0.1763710081577301,2413.9086498982438,2610.435044585878,23.48442754383693,14.858926139444476,18.542989607803317,33.46107384577672,0.016304677352309227,0.35963281989097595,1486.2543324955175,0.040000000000000036
72,"04 Kick, Push.wav",hiphop,255.66666666666666,95.703125,0.1998001998001998,0.8826627917537009,-41.19376754760742,-33.79591751098633,-39.10914993286133,-49.5938606262207,-51.048789978027344,-53.9848747253418,-59.648887634277344,0.2783820927143097,0.14153045415878296,2759.8867926616813,2678.8380269800346,20.821998556634576,16.36331386206613,19.446049281579143,33.26906907802577,0.04042985290288925,0.32330337166786194,1917.4367934976956,-0.07
73,05 Like Woah.wav,hiphop,232.69333333333333,107.666015625,0.309319497106366,0.8321692276990621,-39.83101272583008,-32.814002990722656,-38.02751159667969,-45.1806640625,-55.48916244506836,-57.80633544921875,-62.613162994384766,0.312004029750824,0.12199115753173828,2002.698428462477,2389.1288356987293,22.12838205345446,16.12929207687645,20.782662584452442,38.52843736328484,0.01238015852868557,0.26881295442581177,1024.5696576905807,-0.010000000000000009
